Title,Body
Loft for Sale!!,"7 foot loft for sale, fits in lakeside floors 2-4 and will come with a carpet and a railing on the steps. $250 OBO, please email me at pilandml@rose-hulman.edu if you are interested or would like to take a look at it."
LOST RING IN OLIN,"Sorry for the e-mail, but I lost a ring during either first or second hour today in O201, O203-1, or in that second floor Olin hallway.  It's a really cheap-looking silver ring with a cross on it. Some parts are really worn and are more of a copper color.  If you see it I would really, really appreciate it if you could pick it up and send me an e-mail at oneilhm@rose-hulman.edu .  Thanks!"
"28"" Computer Monitor for Sale","I am selling my huge 28” I-inc monitor. Great as a second monitor for your laptop, but also has HDMI if you want to use it for something else.
I am asking $150 OBO. Link to information/pictures of it is below. 

http://www.tigerdirect.com/applications/SearchTools/item-details.asp?EdpNo=3326540

Email me at thystrnp@rose-hulman.edu if interested."
Looking to rent/borrow heat gun,Does anyone have a heat gun I can rent/borrow? If so e-mail me at goldthea@rose-hulman.edu
"Selling 27"" Insignia TV","I'm selling a 27"" 720P Insignia HD TV. It's about a year old and works great.    A picture is attached and I can be emailed for more.  I am usually available to stop by if anyone wants to check it out.  Hoping to get  $150 for it."
Car for Summer,"Hi, I am looking to rent or buy a car for this summer. I was wondering if anybody that is going back home or that is not gonna use the car let me rent it for this summer. You can reach me at any time 812 223 4158.

Thank you for your time.

Enio Lucas"
Selling Percopo Loft,"9x10-foot (nearly wall-to-wall), Constructed this academic year.


Solid construction (not one of those rickety things that you're afraid to stand on). 


Includes steps and high-end carpet (remnant from a living room makeover back home). Quite possibly the best carpet you'll find on a Rose-Hulman loft. :P 


Asking price: $300 OBO (original cost: $400)


See attached pictures.


Contact: Sean Carter, cartersm@rose-hulman.edu"
Selling Lakeside/Percopo Loft,".ExternalClass2306E7D767734C3C99EEF9C019A9A115 p.MsoNormal, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 li.MsoNormal, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 div.MsoNormal
{margin:0in;margin-bottom:.0001pt;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 a:link, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 span.MsoHyperlink
{color:blue;text-decoration:underline;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 a:visited, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 span.MsoHyperlinkFollowed
{color:purple;text-decoration:underline;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 p.MsoListParagraph, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 li.MsoListParagraph, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 div.MsoListParagraph
{margin-top:0in;margin-right:0in;margin-bottom:0in;margin-left:.5in;margin-bottom:.0001pt;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 span.EmailStyle17
{font-family:""Calibri"",""sans-serif"";color:windowtext;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 .MsoChpDefault
{font-family:""Calibri"",""sans-serif"";}
@page WordSection1
{size:8.5in 11.0in;margin:1.0in 1.0in 1.0in 1.0in;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 div.WordSection1
{page:WordSection1;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 ol
{margin-bottom:0in;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 ul
{margin-bottom:0in;}



·        
Selling (10.5 x 9.5) foot loft.
·        
It’s about 7 feet tall, so plenty of room to walk underneath without having to duck.

·        
It’s carpeted and includes a ladder.
·        
It will be stored in Lakeside over the summer.
·        
It will fit in both Lakeside and Percopo suites.

·        
Asking price is $120
·        
If interested, and would like to come check it out contact Andrew Bertinetti at
bertinaj@rose-hulman.edu"
Lost Phone,I lost my phone between 3 and 4:30 in the am on Saturday... It is a black Samsung Galaxy with a black case with red in the inside. If found please email hirtjd@rose-hulman.edu It would be much appreciated...
Selling 2004 Toyota Camry for 4500,"I am selling my 2004 Toyota Camry, for 4500. 

It have 174753 mile right now, but the engine is still very strong, you should try it out.

Four all season tires changed winter 2012. I had a car accident last winter, but the good thing is that you got new front lights. KBB said that it worth about 4800, since there is an accident I lower it to 4500 and it is negotiable. See if you like it. Fell free to call or text me. 

My phone is 618 240 0922."
Selling Disco Book,"Hey guys, if you're interested, email me at millerna@rose-hulmen.edu. 

Thanks."
Selling Percopo Loft,"9x10-foot (nearly wall-to-wall), Constructed this academic year.


Solid construction (not one of those rickety things that you're afraid to stand on). 


Includes steps and high-end carpet (remnant from a living room makeover back home). Quite possibly the best carpet you'll find on a Rose-Hulman loft. :P 


Asking price: $300 OBO (original cost: $400)


See attached pictures.


Contact: Sean Carter, cartersm@rose-hulman.edu"
Selling Lakeside/Percopo Loft,".ExternalClass2306E7D767734C3C99EEF9C019A9A115 p.MsoNormal, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 li.MsoNormal, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 div.MsoNormal
{margin:0in;margin-bottom:.0001pt;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 a:link, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 span.MsoHyperlink
{color:blue;text-decoration:underline;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 a:visited, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 span.MsoHyperlinkFollowed
{color:purple;text-decoration:underline;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 p.MsoListParagraph, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 li.MsoListParagraph, .ExternalClass2306E7D767734C3C99EEF9C019A9A115 div.MsoListParagraph
{margin-top:0in;margin-right:0in;margin-bottom:0in;margin-left:.5in;margin-bottom:.0001pt;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 span.EmailStyle17
{font-family:""Calibri"",""sans-serif"";color:windowtext;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 .MsoChpDefault
{font-family:""Calibri"",""sans-serif"";}
@page WordSection1
{size:8.5in 11.0in;margin:1.0in 1.0in 1.0in 1.0in;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 div.WordSection1
{page:WordSection1;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 ol
{margin-bottom:0in;}
.ExternalClass2306E7D767734C3C99EEF9C019A9A115 ul
{margin-bottom:0in;}



·        
Selling (10.5 x 9.5) foot loft.
·        
It’s about 7 feet tall, so plenty of room to walk underneath without having to duck.

·        
It’s carpeted and includes a ladder.
·        
It will be stored in Lakeside over the summer.
·        
It will fit in both Lakeside and Percopo suites.

·        
Asking price is $120
·        
If interested, and would like to come check it out contact Andrew Bertinetti at
bertinaj@rose-hulman.edu"
Lost Phone,I lost my phone between 3 and 4:30 in the am on Saturday... It is a black Samsung Galaxy with a black case with red in the inside. If found please email hirtjd@rose-hulman.edu It would be much appreciated...
Selling 2004 Toyota Camry for 4500,"I am selling my 2004 Toyota Camry, for 4500. 

It have 174753 mile right now, but the engine is still very strong, you should try it out.

Four all season tires changed winter 2012. I had a car accident last winter, but the good thing is that you got new front lights. KBB said that it worth about 4800, since there is an accident I lower it to 4500 and it is negotiable. See if you like it. Fell free to call or text me. 

My phone is 618 240 0922."
Selling Disco Book,"Hey guys, if you're interested, email me at millerna@rose-hulmen.edu. 

Thanks."
Selling Nikon N55 35mm film format camera,"Selling Nikon N55 35mm film format camera that I used for the Beginning Photography course in the Fall (IA148) at $30 OBO.
Details can be found at http://en.wikipedia.org/wiki/Nikon_F55.

It comes with a 28-80mm lens. Features include autofocus, exposure compensation, automatic film rewind, and several different modes: manual, aperture priority, shutter priority, and automatic. Requires 2 3V CR2 batteries for operation, which can be bought at the local photography stores or Amazon.com. If interested, feel free to contact me at tugayac@rose-hulman.edu. Thank you!"
Selling HP Pavilion w22 monitor,"I am selling my HP Pavilion w22 computer monitor.  It is a 22"" class display (20.7*17.1) with a panel resolution display of 1650x1200.  It connects with DVI and VGA. The monitor is in excellent condition and includes the stand, power cord, and a 6' VGA cable. It can be attached to all Rose laptops and act as a second screen.  I am asking for $50.  Email me at weiskisl@rose-hulman.edu if interested."
Selling 2007 BMW 550i Sports Sedan,"I am selling my 2007 550i car. It’s got about 73000miles.

This car is a perfect combination of power and comfort. It’s got a V8 4.8L 360HP engine with business class luxury interior. Goes from 0-60 in about 5.2sec. The car is equipped with many useful extra packages including the premium sound system, sports package, and cold weather package, etc. We can discuss these in detail.

The car has no major accident but was slightly scratched once few years ago and I replaced the entire front bumper so there is no scratch left. The interior is fairly new and clean.

According to KBB, I should sell it for about $20k. But I will ask for about $18k or your reasonable price for Rose student.

Please contact me if you are interested.

812-229-0432  fengk@rose-hulman.edu"
Survey for Principles of Economics about Textbooks,"Hi, we have a quick survey about textbooks for our econ project. We'd really appreciate it if you took a few minutes to take our survey:

https://docs.google.com/spreadsheet/ccc?key=0Aqi-W5PHTle5dGFGczhZU055X3liOEJTWHo2TDEwQ1E#gid=0

Thanks!"
Fixed Survey for Principles of Economics about Textbooks,"Hi, we have a quick survey about textbooks for our econ project. We'd really appreciate it if you took a few minutes to take our survey: https://docs.google.com/forms/d/18dfR_BGXK2uQrhdUC6-NkXuhzvUoaOOCeQn3MkVCqRI/viewform Thanks!"
Looking for Roommates for North Indy Internships,"My friend and I (both men) are looking to find another roommate over the summer in Indy to cut down the cost of renting an apartment. We'll be working in Noblesville and a bit southeast of Zionsville from June 1st to August 23rd. We're looking to rent an apartment near Carmel, Fishers, or the Washington Township. We can provide most furnishing for the apartment. If anyone is interested in rooming with us, please e-mail me at nuanests@rose-hulman.edu."
LOFT For Sale!,"I am selling my single bed loft that has been used in BSB, Percopo and Lakeside. It easily fits a small couch or a desk underneath. Asking $100. Email reberglm@rose-hulman.edu for more details."
CHEM 326/327 book for sale,"This book sells for $260 used in the book store. I will take $200 for it. Let me know if you are interested, I am willing to negotiate."
CSSE & MATH Senior Thesis Poster Presentations and Projects,"The CSSE & Math Senior Thesis Poster Presentations and Projects will be held on Wednesday May 7 from 2:30 - 4:15 p.m. in F225 Lab.

CSSE Senior Thesis Oral Presentations will be held after the poster presentations from 4:30 - 6:00 p.m. in F225 Lab."
Ti-NSpire Cx for sale,Very good condition Calculator for $150
Lost Cellphone,I lost my cellphone today it is a white Samsung Galaxy 3 with a phone case with a panda on it. If you find it please email me at bensoncj@rose-hulman.edu
Study Participants Needed,"I am conducting a directed research study in cooporation with Dr. McInerney from the Physics Department. The study is about the Benham's Disc which is a black and white pattern that when spun rapidly, you can actually perceive colors in."
Deck for Sale :),"Used to be in Blum but currently used in Lakeside 3, so I'm pretty sure it can be used in any building. Comes in two sections both 3.5 ft tall so there is room for beds underneath. It is carpeted and makes great use of the high ceilings in Lakeside.

Selling for $100 obo (but you need to help take it down)

Please contact coxap@rose-hulman.edu if interested.

I can send pics upon request."
PRAYER and BASKETBALL,"Please feel free to join St. Joseph's Campus Ministry for an evening of basketball and prayer tonight (Tuesday May 6th). We will be meeting on the Lakeside courts at 7 to play some basketball and then head over to the union at 9 to pray the liturgy of the hours. This is roughly a 20 minute prayer so we would be done before 9:30. Anyone can show up, but it would be appreciated if you could email me at dantcm@rose-hulman.edu to let me know if you can make it. Thanks."
Want ONE LOFT? Or how about TWO LOFTS?,"My roommate and I have two identical lofts in our room, that we are looking to sell because we are moving off campus next year. 

The lofts are brand new, carpeted, and in awesome conditions. There is plenty of room below them for a desk, maybe a small couch, and storage. We are looking to sell either both lofts for a special deal, or both of them separately for $115, OBO. 

The lofts will fit in ANY apartment on campus and in Percopo. They come apart into four pieces, and can also by assembled very quickly and efficiently. They can also be used in the living room to put a couch up on top, also to save some room :) 

If interested shoot us an email or text! 

chloe.lavelle@rose-hulman.edu and the phone number is 6316456548

and 

alexa.hylas@rose-hulman.edu and the phone number is 9257861867"
Technology of Astronomical Imaging,"Dr. Richard Ditteon
Professor
Department of Physics and Optical Engineering
 
 
*The Department of Physics and Optical Engineering is pleased to announce that Dr. Richard Ditteon will give a presentation on his sabbatical experience in Myers 137 beginning at 4:20 p.m. on Tuesday, May 6, 2014.  
 
Tuesday, May 6, 2014
Beginning at 4:20 p.m.
Myers 137
 
 
Abstract
Technology of Astronomical Imaging
 
Last spring, I spent the quarter in Australia setting up some new equipment for the Oakley Southern Sky Observatory and learning how to make “pretty” astronomical images. In this talk, I will discuss both the hardware and software used in astronomical imaging. I will also be showing several of my images.
 
           
 
Refreshments served."
Found Glasses,"A pair of glasses were found up by fraternity row. If you think these may be your, please come to Facilities and claim them. They are at the receptionist desk."
Selling Percopo Loft,"I'm selling my loft for Percopo. It's 6 ft. tall and 8 ft. x 10 ft. Everything was bought at the beginning of this year, including brand new carpet. I'm asking $160 for it, but I'll knock off $25 if you help take it down and get it stored at the end of this quarter. Email me at korffdm@rose-hulman.edu if you're interested."
Looking for roommate for summer or fall.,"I am looking for one roommate for this summer or next year. The apartment is at Village Quarter, 5 minutes drive from campus. The rental is $357.5/month (water, cable, electricity not included). If you are looking for an apartment  for this summer or next year. Please contact (812)-2292242 for detail."
Freezer Beef for Sale,"All Natural Angus freezer beef for sale $1.50 per lb on the hoof + processing fees. Selling Quarters, Half, or Whole Beef. The beef will be processed at Clay City Meats in Clay City, IN or Fenders 4 Star in Spencer, IN."
Off-Campus Housing 2014-15 School Year,"I'm looking for a roommate! I'm second on the waiting list for a two bedroom two bath apartment at Sycamore Terrace. It would be about 500-650 a month including cable, water, electricity, and wifi, and food (this is still much cheaper than being on campus) There will be a washer and dryer as well as a dishwasher. You can be a boy, all I ask is that you're okay with living with a girl and you aren't super messy outside of your room. Please text me if you are interested! I really want to live off campus next year but I can't live there by myself. Someone please help me out:) 513 623 8405"
Looking for roommates to live on Lakeside,"Hello,
I am looking for a roommate/suitemates to live on lakeside hall next year. Please, if you need someone to complete a group of 4 or still do not have a roommate, feel free to contact me and we can talk about."
Summer sublet  at Sharp Flats,"I am going away for the summer and I would like to sublet my apartment for the months of June, July and August.  I reside at Sharp Flats which is only 0.05 mile away from the campus. I have efficiency floor plan (a bedroom/living area and bathroom). Kitchen is shared. The room is fully furnished and utility is covered. I am asking only $300 per month. If you interested please email at satinumb@rose-hulman.edu"
Research Participant Opportunity,"Dear Rose-Hulman Students:

You are invited to participate in a research study about learning; specifically, this study is an investigation of the effects of body posture on learning. By participating in this study, you may discover body postures that increase your learning. We request the participation of students who are 18 or older. You may be required to hold poses such as crossed-arms and legs propped upon a table for ten minutes. This study is being conducted by Alayna B. McNamara and Ella Ingram, from the Department of Applied Biology and Biomedical Engineering at Rose-Hulman Institute of Technology; therefore, if you are currently enrolled in any of Dr. Ingram’s or Ms. McNamara’s courses, you are unable to participate.

If you choose to participate, you will first complete a trial that measures your confidence. This trial may last up to 30 minutes, scheduled at your convenience. If you complete this trial, you will receive $5 in Declining Balance. Additionally, you may be asked to participate in several trials on learning. Each of these sessions should last approximately 60 minutes, scheduled at your convenience. Participation in this study may involve up to five different trials; after the completion of each trial, you will receive $10 in cash; if you complete the entirety of the trials, you will receive a $20 completion bonus in cash.  You may withdraw from the study at any time, and if you choose to do so, you will be compensated for your time and any data collected from you will be destroyed and not utilized in any subsequent analysis.

Thank you for your consideration to participate in this research study. Please contact either of us if you would like to enroll or have other questions.

Alayna B. McNamara
mcnamaab@rose-hulman.ed

Dr. Ella Ingram
ingram@rose-hulman.edu

IRB Number: 442867
IRB Approval Date: 4/15/14"
Looking for Loft in Percopo,My roommate and I are looking for a loft for Percopo next year. If you want to sale your loft please contact me with liuh3@rose-hulman.edu or text me with 603-957-6454. We would like to look at it first!! It will be better if the price is about 100$. Thanks!
Selling Apartments Living Room Loft,"Hey guys,

I have a loft that provides stadium style seating for the living room area of the apartments. The price is $150, or the best offer. If you are interested and/or want to come check it out, it is in West 201.

Thanks,

Evan Sego"
Selling Percopo Loft,"Has carpeting and stairs. Bought it for $200, looking for roughly same. Contact me at hickeytm@rose-hulman.edu for more details.

Thank you for putting up with my Sharepoint. Here's a baby turtle eating.
https://www.youtube.com/watch?v=G7alK79yprI"
Selling Loft for Percopo Rooms,"I am selling my loft designed for percopo rooms. It was made at the beginning of this year and comes with carpeting, stairs, and a finished counter top that fits under the stairs for cooking or storage. It is still in great condition and has no writing on it or damage to it. You are welcome to stop by room 320 in percopo to check it out or send me an email if you are interested ( giesenki@rose-hulman.edu )"
Lakeside Deck for Sale,"My roommate and I are selling our deck that fits Lakeside rooms for floors 2, 3, and 4.  It's about 7' tall and comes with stairs and carpet.  We are asking about $250 for it, so contact owensem@rose-hulman.edu or pilandm@rose-hulman.edu if interested!"
"28"" Monitor for sale","I am selling my huge 28” I-inc monitor. Great as a second monitor for your laptop, but also has HDMI if you want to use it for something else.

I am asking $100 OBO. 


Email me at thystrnp@rose-hulman.edu if interested."
iPhone 4S charging case for sale,"uNu Exera system charging case for iPhone 4S. Comes with case, 2 extra batteries, battery charging hub, and charging cord. $100 brand new, asking $50, still in great shape, never dropped. Here is a link to the product for details http://www.myunu.com/exera-system-iphone-4s-battery-case-dock.html"
Percopo Loft for sale,Room 133 and 135. $150/ room obo. come check it out. we don't bite
Loft/Deck for sale,"I have a deck that we built for Percopo, but it would probably work in other Res. Halls. Its around 4 feet tall and makes an L shape. We put our beds underneath the deck and had the desks on top, but it could also have a dresser or couch on top. I switched rooms mid-year, so I had to take the loft down, but i can show the pieces. Asking $200, email me at savagemt@rose-hulman.edu if you are interested! Thanks!"
Loft $50,"Since everyone else is spamming everyone....
I have a basic loft for sale, It's 5ish feet tall. With the Apartments ceilings, you can stand on top without hitting your head (assuming you are of average height like me).  You can put your bed under it or whatever else.  It's not a beautiful work of art but it's sturdy and cheaper than the others on sharepoint (like seriously people want $100, $200, $250 for a loft!?!)  I'll disassemble it and for an extra $10 I'll help deliver it.

TLDR; basic sturdy loft for only $50
Email me at kepchaja@rose-hulman.edu if interested"
Motorized Bicycle for sale,Hello everyone! I have a 10 speed Huffy bicycle with a 2 cycle Mitsubishi motor attached to it. It's fun to ride and can go up to 15 mph. Has a speedometer and helmet included with basket on front . Also a air pump attached to the frame and will include the gas tank. Takes 50/1 gas to oil mix. great gas mileage and fun to ride! Asking $250.
Disco Book $30,"Hey guys, this is a little early for most people to be thinking about books, but I need some cash for the weekend!

Let me know if you're interested. millerna@rose-hulman.edu

Thanks,
Noah."
Suitemates for Next year,"My roommate and I are looking for a pair of suitemates for next year. Looking to live in the apartments but are open to change. Let us know if you are a pair who is looking for another pair for next year contact us and let us know. Thanks and sorry for the spam.

postcn@rose-hulman.edu
goldthea@rose-hulman.edu"
Vigo County Public Library Sale,"Friends of the VCPL is holding its sale this month.  

Many, many items -- gently used books of all kinds, DVDs, vinyl records, VHS tapes.  All at a fraction of original cost.

Saturday (May 17) 9:00 am - 3:00 pm
Sunday (May 18) 1:00 pm - 4:00 pm
Monday (May 19) 9:00 am - 2:00 pm

On the lower level of the public library -- at the corner of 7th and Poplar."
Corner Desk for Sale- $30 OBO,"Corner desk in excellent condition, Metal frame and wood veneered tiers.  Asking 30 dollars OBO. See craigslist post linked below for more information and picture: http://terrehaute.craigslist.org/fuo/4459619935.html

Email hildebmn@rose-hulman.edu for more information"
Found Cell Phone,"Ground Crew found a cell phone by a tree. If this is your cell phone, please come to Facilities to describe and claim it. It will be at the receptionist desk."
Futon for Sale.,"We have a futon for sale. We're looking for 10$, OBO. Here is a picture: http://imgur.com/lB6b7dZ. You have to come pick it up yourselves. 


Contact Information, 
Matt Olson: olsonmc@rose-hulman.edu, Lakeside 214"
*Looking to purchase COUCH*,I am looking for a couch (or maybe a futon) that someone is giving away for free or cheap. Shoot me an email (cobbks@rose-hulman.edu) or text (2194874782) if you have one.
Futon for Sale has been sold.,The futon has been sold
"LCD Monitor 17""",I am selling my monitor because I didn't use it once this year. I am asking 30 dollars obo.
Selling Deck,"Features: carpeted, professionally built, nice paint, shelving, very sturdy, curtains for privacy, enough room to place a bed underneath and sit up, as well as stand on top. If we need to disassemble, looking for $160, else $80 if you do it yourself.
See pictures for reference. If interested, contact Orry Jarvis or myself at jarvisoa@rose or mcnelljd@rose."
Looking for roommate for summer,"I am looking for a summer roommate at Village Quarter. It's a two bedroom, two bathroom apartment, and 5 minutes drive from campus. If you are interested, please let me know before tomorrow noon."
Broad Ripple House Available,"One roommate needed in Indianapolis (Broad Ripple).  I am moving out of my place because of a new job and my roommates who are Rose grads of a couple years are looking for someone to replace me.  It’s a house located right on the white river with a big yard and its own private dock.  The room you would be taking over (Master Bedroom) has a huge closet and a private deck.  Its also walking distance to the broad ripple bars.  It’s a really fun place to live, and I wish I didn’t have to leave.  The address is 7161 Edgewater Place, Indianapolis, IN and you can look at pics of the place on Zillow.com.  Rent would be $750/month and the lease starts June 1st but you can move in whenever you’d like before then.  Please contact Alex Woodhams at woodhams90@gmail.com if you are interested."
Selling Sony Camera $60,I have a brand new Sony Cyber-shot camera for sale. The retail price is $120 and I am asking $60 obo. The box has not even been opened yet. My email is clarklc@rose-hulman.edu
"Looking for Roommate in Columbus, IN area","If you are going to be living in the area and are looking to share an apartment, text me on 646-243-5436 or email gandhiks@rose-hulman.edu."
Looking for Roommate!,"Good afternoon Gents, I'm looking for a roommate to live with me in the apartments next year, just one roommate though, I already have my suitemates. This may be a weird request but it would be ideal if you have a co-op winter quarter or will be leaving after fall quarter. If not, no big deal! So if you're interested send me an email!(lamberjl@rose-hulman.edu)"
Looking for Suitemates,"My roommate and I, Philip Horstmeyer, are looking for 2 other guys to room with next year. I am a CHE/CHEM and Phil is a CHE, we're both currently freshmen. We're pretty laid back and tolerate pretty much anything. We're hoping to room in either the apartments or lakeside if we can. If you and your roommate are interested or would like some more information, contact either of us at hauptda@rose-hulman.edu or horstmpr@rose-hulman.edu.

Thanks,
Devin"
Looking for Suitemates!,"My roommate and I, Brooke Butler, are looking for 2 other girls to room with next year. I am a ME and Brooke is a CHEM, we're both currently freshmen. We're both pretty laid back. Brooke is in ROTC and I am on the basketball and track teams, so we are both pretty busy. We are looking for two other girls to room with us that are pretty laid back too, non-smoking, staying up late isn't a problem, pets are cool. We're hoping to room in either the apartments or lakeside if we can. If you and your roommate are interested or would like more information, you can contact either of us at paruleam@rose-hulman.edu or butlerba@rose-hulman.edu. Thanks, Ava"
Living in Terre Haute for the Summer?,"Are you living in the Haute this summer?
This summer, my roommates and I would like to sublet our apartment. We live in Sycamore Terrace, the apartments by Walmart on 46, so you will be close to campus, Ventures, and the store. We are asking for $425 a month per person to cover rent, but we will cover the utilities (water and electricity) provided they stay reasonable (under $100 for each utility).
The cost includes a fully furnished room as well as the following amenities:
For each room: 
Bed with ALL Necessities including Sheets, Pillows, and Comforter 
Desk 
Dresser and/or Closet

Also available to you: 
Washer 
Dryer 
Great Internet 
Cable TV 
Home Theater System with HD Projector, Blu-ray Player, and Surround Sound 
Wireless Color Printer 
Pool 
Work Out Room 
Great AC 
Close to Campus! 
Close to Ventures!

We will only have two rooms to rent out as I am staying in town and will be using my room.

If you are interested, please email me at gorebk@rose-hulman.edu .

Have a great weekend in this awesome weather!"
WTB: RipStik,"I am looking to buy a Razor RipStik as the plastic body on mine is wearing out. The condition of the wheels and trucks/casters doesn't matter. I just want one for its body.

email me at nygrendr@rose-hulman.edu"
30 dollars for a loft,The loft is in Percopo. The loft has a carpet and covers most of the room. We sell it for only 30 dollars (it’s worth >120 dollars) if you help us take it down. Contact: wangz2@rose-hulman.edu
Lost Wallet,"Description is as follows: Brown with a smooth texture with an enclosed two-side pocket tab. The transparent pocket has my driver's license in it, and my Rose ID Card is in one of the pockets. 

If found, please contact me at kniermmf@rose-hulman.edu"
"Selling lots of wood, 2 frames, self-made ladder, screws","We are selling a large amount of wood, mostly 4x4s,  2 frames for lofts/decks, one of which is covered and crudely carpeted and a self-made ladder, as well as about 30 4.5 inch wood scews(headLOK brand). See the attached image for details. If interested, either e-mail me at goldthea@rose-hulman.edu or stop by apartments East 207. ANY OFFER WITHIN REASON WILL BE ACCEPTED, FIRST COME FIRST SERVE. Anything not sold by next Saturday WILL BE THROWN OUT."
Selling 4 Man Percopo Loft,"Percopo-style loft, sleeps 4, room for study area underneath, 6.5’ clearance, 25 sq. ft. extra storage space on top. Provides access to door between rooms. Ideal for sleep room/study room or sleep room/game room suite configurations. Splits into 4 pieces, includes assembly instructions. Asking $240 (negotiable). Link to CAD pictures below. Feel free to stop by Percopo 312 anytime to check it out (door should be open, come on in if we’re not there).

Pictures"
WTB: RipStik,"I am looking to buy a Razor RipStik as the plastic body on mine is wearing out. The condition of the wheels and trucks/casters doesn't matter. I just want one for its body.

email me at nygrendr@rose-hulman.edu"
30 dollars for a loft,The loft is in Percopo. The loft has a carpet and covers most of the room. We sell it for only 30 dollars (it’s worth >120 dollars) if you help us take it down. Contact: wangz2@rose-hulman.edu
Lost Wallet,"Description is as follows: Brown with a smooth texture with an enclosed two-side pocket tab. The transparent pocket has my driver's license in it, and my Rose ID Card is in one of the pockets. 

If found, please contact me at kniermmf@rose-hulman.edu"
"Selling lots of wood, 2 frames, self-made ladder, screws","We are selling a large amount of wood, mostly 4x4s,  2 frames for lofts/decks, one of which is covered and crudely carpeted and a self-made ladder, as well as about 30 4.5 inch wood scews(headLOK brand). See the attached image for details. If interested, either e-mail me at goldthea@rose-hulman.edu or stop by apartments East 207. ANY OFFER WITHIN REASON WILL BE ACCEPTED, FIRST COME FIRST SERVE. Anything not sold by next Saturday WILL BE THROWN OUT."
Selling 4 Man Percopo Loft,"Percopo-style loft, sleeps 4, room for study area underneath, 6.5’ clearance, 25 sq. ft. extra storage space on top. Provides access to door between rooms. Ideal for sleep room/study room or sleep room/game room suite configurations. Splits into 4 pieces, includes assembly instructions. Asking $240 (negotiable). Link to CAD pictures below. Feel free to stop by Percopo 312 anytime to check it out (door should be open, come on in if we’re not there).

Pictures"
Free TV with Purchase of Loft,"Yes a free TV! The one pictured in pic01! Speaking of pictures check out that loft! Carpeted flooring, under deck lighting, additional shelving, very sturdy, 6ft clearing on bottom, five feet on top! Don't just take my word for it stop on down!  Cost? $330 dollars! A bit steep for your wallet? Come help me tear down and I'll drop it to $250! A great space saver and totally worth the investment! I will even throw in the TV stand if you'd like!

Questions? 

EMAIL ME: doleshmc@rose-hulman.edu
CALL ME (or text): 7659672937
STOP ON BY: 107 Lakeside
FACEBOOK me! I don't care how you reach me just do it!

Thanks to all who have read this far, and for all those not interested sorry for the email!"
Off Campus Room-mate,"Hey, I'm looking for a roommate to live in the village quarters next school year.  If you're still looking for someone and are interested, please text me at 765-505-8096 or email me."
Selling Percopo Loft,"Hey!
If you are living in Percopo next year and are interested in a very sturdy loft, you should get in contact with us! 
We have a loft for sale!
It is about 6 ft tall so you are able to stand comfortable underneath. We placed our beds on top and were able to sit up in them. The loft fills the back half of the room, but you are able to fit your desks and the dresser underneath and still have lots of space to walk around. 
We are asking for 200 dollars (which is what we paid for it). The loft is in excellent condition and isn’t too hard to put up. 1
Contact me if you would like pictures or to come see it. 
Please email me at jaysr@rose-hulman.edu"
"Selling 24"" Monitor","Selling an Asus VW246H because I've bought a newer screen and I don't use this one anymore. Asking $40 OBO. You can contact me at tugayac@rose-hulman.edu if interested. The monitor has served me well and it's good for all around use. I used it for gaming and schoolwork. It has a 2ms response time, 20000:1 Contrast Ratio, 1 HDMI, 1 VGA, 1 DVI input, as well as built-in speakers. Comes with Power Cable and DVI-I cable. DisplayPort to DVI converters can be bought for cheap on Amazon.com. Thank you!"
Selling Subs,"Selling my two 12 inch JBL subs and amp in a custom enclosure. Contact me for more details about dimensions, specifications, and price

317-709-6348
fanshenb@rose-hulman.edu"
